id,nom,editeur,categorie,acces,licence,maturite,surfaces,local,cloud,politique_modeles,terminal,ide,web,computer_use,mcp,acp,skills,sous_agents,memoire,sandbox,orchestration,usage_principal,source_principale,type_source,notes,confiance,verifie_le,definition_categorie,est_harness,remarque_categorie
junie,Junie,JetBrains,Coding harness,Propriétaire,Commerciale,Actif,JetBrains IDE · CLI · CI,Partiel,Oui,Multi-modèle / BYOK,Oui,Oui,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement autonome avec moteur IDE,https://junie.jetbrains.com/docs/,Secondaire / index,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
kilo-code,Kilo Code,Kilo,Coding harness,Open source / hybride,MIT,Actif,CLI · IDE · Cloud,Oui,Oui,Multi-modèle,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Sessions,Permissions,Oui,Développement et orchestration,https://github.com/Kilo-Org/kilocode,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
kimi-code-cli,Kimi Code CLI,Moonshot AI,Coding harness,Open source / hybride,Voir dépôt,Actif,CLI,Oui,Backend cloud,Kimi natif + fournisseurs compatibles,Oui,Non,Fetch web,Non,Inconnu / non documenté,Inconnu / non documenté,Inconnu / non documenté,Inconnu / non documenté,Sessions,Permissions,Non,Codage terminal,https://github.com/MoonshotAI/kimi-code,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
letta-code,Letta Code,Letta,Coding harness,Open source / hybride,Voir dépôt,Actif,CLI,Oui,Oui,Multi-modèle,Oui,Non,Non,Non,Inconnu / non documenté,Inconnu / non documenté,Oui,Oui,Persistante,Inconnu / non documenté,Oui,Codage centré sur mémoire persistante,https://github.com/letta-ai/letta-code,Primaire / dépôt,,Moyenne,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
mentat-legacy,Mentat (legacy),Abante AI,Coding harness,Open source / ancien,Voir dépôt,Ancien,CLI,Oui,Inconnu / non documenté,OpenAI historique,Oui,Non,Non,Non,Inconnu / non documenté,Inconnu / non documenté,Inconnu / non documenté,Inconnu / non documenté,Contexte dépôt,Inconnu / non documenté,Non,Édition multi-fichiers,https://github.com/AbanteAI/mentat,Primaire / dépôt,,Moyenne,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
mistral-vibe,Mistral Vibe,Mistral AI,Coding harness,Open source,Apache-2.0,Actif,CLI,Oui,Backend cloud,Mistral natif,Oui,Non,Non,Non,Inconnu / non documenté,Inconnu / non documenté,Oui,Inconnu / non documenté,Inconnu / non documenté,Inconnu / non documenté,Non,Codage terminal,https://github.com/mistralai/mistral-vibe,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
nanocoder,Nanocoder,Nano Collective,Coding harness,Open source,MIT,Actif,CLI,Oui,Optionnel,Multi-modèle / local,Oui,Non,Non,Non,Oui,Inconnu / non documenté,Commandes/outils fichiers,Inconnu / non documenté,Sessions,Permissions,Non,Codage local-first,https://github.com/Nano-Collective/nanocoder,Primaire / dépôt,,Moyenne,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
neovate-code,Neovate Code,Ant Group,Coding harness,Open source,MIT,Actif,CLI · Headless,Oui,Optionnel,Multi-modèle,Oui,Non,Non,Non,Oui,Inconnu / non documenté,Oui,Inconnu / non documenté,Inconnu / non documenté,Inconnu / non documenté,Non,Codage terminal,https://github.com/neovateai/neovate-code,Primaire / dépôt,,Moyenne,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
open-interpreter,Open Interpreter,Open Interpreter,Coding harness,Open source,Apache-2.0,Actif,CLI · ACP,Oui,Optionnel,Multi-modèle / modèles ouverts,Oui,Via ACP,Oui,Oui,Oui,Oui,Oui,Selon harness,Sessions,Natif,Oui,"Codage, QA et émulation de harnesses",https://github.com/OpenInterpreter/open-interpreter,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
open-codex,open-codex,Communauté,Coding harness,Open source,Voir dépôt,Expérimental,CLI,Oui,Inconnu / non documenté,Multi-fournisseur,Oui,Non,Non,Non,Oui,Inconnu / non documenté,Inconnu / non documenté,Inconnu / non documenté,Inconnu / non documenté,Oui,Non,Fork multi-modèle de Codex,https://github.com/bradAGI/awesome-cli-coding-agents,Secondaire / index,,Faible,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
opencode,OpenCode,Anomaly,Coding harness,Open source,MIT,Actif,CLI · Desktop · IDE,Oui,Optionnel,Multi-modèle / BYOK,Oui,Oui,Partage de sessions,Non,Oui,Oui,Oui,Oui,Oui,Permissions,Oui,Agent de codage local et multi-session,https://github.com/anomalyco/opencode,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
pi-coding-agent,Pi Coding Agent,Pi / Badlogic,Coding harness,Open source,MIT,Actif,CLI · RPC · ACP,Oui,Optionnel,Multi-modèle / local,Oui,Via ACP/RPC,Non,Non,Oui,Oui,Oui,Par extensions,Sessions,Configurable,Par extensions,Harness minimal personnalisable,https://pi.dev/,Secondaire / index,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
plandex,Plandex,Plandex,Coding harness,Open source,MIT,Actif,CLI · Auto-hébergeable,Oui,Oui,Multi-modèle,Oui,Non,Non,Non,Inconnu / non documenté,Inconnu / non documenté,Prompts/config,Oui,Context management,Diff sandbox,Oui,Tâches longues et gros contextes,https://github.com/plandex-ai/plandex,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
qwen-code,Qwen Code,Alibaba / Qwen,Coding harness,Open source,Apache-2.0,Actif,CLI · IDE · GitHub Action,Oui,Optionnel,Qwen + OpenAI/Anthropic/Gemini/local,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Auto-memory,Permissions,Oui,Codage multi-modèle et équipes d'agents,https://github.com/QwenLM/qwen-code,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
reasonix,Reasonix,esengine,Coding harness,Open source,MIT,Actif,CLI · Desktop · Web · ACP,Oui,Optionnel,Multi-modèle,Oui,Via ACP,Oui,Non,Oui,Oui,Oui,Planner/executor,Checkpoints,Workspace,Oui,Longues exécutions et plan/exécution séparés,https://github.com/esengine/DeepSeek-Reasonix,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
rovo-dev-cli,Rovo Dev CLI,Atlassian,Coding harness,Propriétaire,Commerciale,Actif,CLI · Jira · Confluence · Bitbucket,Partiel,Oui,Multi-modèle via Atlassian,Oui,Non,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement connecté au contexte d'entreprise,https://support.atlassian.com/rovo/docs/use-rovo-dev-cli/,Secondaire / index,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
warp-agent,Warp Agent,Warp,Coding harness,Propriétaire,Commerciale,Actif,Terminal · Cloud,Non,Oui,Multi-modèle via Warp,Non,Non,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Codage et opérations terminal,https://docs.warp.dev/,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
agno,Agno,Agno,Framework / SDK,Open source / hybride,Voir dépôt,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Framework d'agents avec mémoire,https://github.com/agno-agi/agno,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
aios,AIOS,Recherche,Framework / SDK,Open source,Voir dépôt,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Agent operating system,https://github.com/agiresearch/AIOS,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
claude-agent-sdk,Claude Agent SDK,Anthropic,Framework / SDK,Propriétaire,Conditions Anthropic,Actif,Python · TypeScript,Oui,Optionnel,Claude,Programmable,Non,Non,Non,Oui,Inconnu / non documenté,Oui,Oui,Programmable,Inconnu / non documenté,Oui,Construire des agents avec la boucle Claude Code,https://docs.anthropic.com/en/docs/claude-code/sdk,Primaire / dépôt,,Élevée,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
cloudflare-agents,Cloudflare Agents,Cloudflare,Framework / SDK,Open source / plateforme,Voir dépôt,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Runtime d'agents sur Workers,https://github.com/cloudflare/agents,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
crewai,CrewAI,CrewAI,Framework / SDK,Open source / hybride,Voir dépôt,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Orchestration d'équipes d'agents,https://github.com/crewAIInc/crewAI,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
dify,Dify,LangGenius,Framework / SDK,Open source / hybride,Voir dépôt,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Plateforme no-code d'apps et agents,https://github.com/langgenius/dify,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
flowise,Flowise,FlowiseAI,Framework / SDK,Open source / hybride,Apache-2.0,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Builder visuel d'agents,https://github.com/FlowiseAI/Flowise,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
google-adk,Google ADK,Google,Framework / SDK,Open source,Apache-2.0,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Agent Development Kit,https://github.com/google/adk-python,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
haystack-agents,Haystack Agents,deepset,Framework / SDK,Open source / hybride,Apache-2.0,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Pipelines et agents RAG,https://github.com/deepset-ai/haystack,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
langflow,Langflow,Langflow,Framework / SDK,Open source / hybride,MIT,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Builder visuel LangChain,https://github.com/langflow-ai/langflow,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
langgraph,LangGraph,LangChain,Framework / SDK,Open source,MIT,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Graphes d'agents stateful,https://github.com/langchain-ai/langgraph,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
llamaindex-agent-workflows,LlamaIndex Agent Workflows,LlamaIndex,Framework / SDK,Open source / hybride,MIT core,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Workflows et RAG agents,https://github.com/run-llama/llama_index,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
magentic-one,Magentic-One,Microsoft,Framework / SDK,Open source / recherche,MIT,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Système multi-agent généraliste,https://github.com/microsoft/autogen/tree/main/python/packages/autogen-magentic-one,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
mastra,Mastra,Mastra,Framework / SDK,Open source / hybride,Apache-2.0,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Framework TypeScript d'agents,https://github.com/mastra-ai/mastra,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
mcp-agent,mcp-agent,LastMile AI,Framework / SDK,Open source,Apache-2.0,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Workflows centrés MCP,https://github.com/lastmile-ai/mcp-agent,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
microsoft-agent-framework,Microsoft Agent Framework,Microsoft,Framework / SDK,Open source,MIT,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Framework multi-langage pour agents,https://github.com/microsoft/agent-framework,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
microsoft-autogen,Microsoft AutoGen,Microsoft,Framework / SDK,Open source,MIT,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Agents conversationnels et multi-agent,https://github.com/microsoft/autogen,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
nexent,Nexent,Communauté,Framework / SDK,Open source / hybride,Voir dépôt,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Plateforme zéro-code multi-agent,https://github.com/ModelEngine-Group/nexent,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
openai-agents-sdk,OpenAI Agents SDK,OpenAI,Framework / SDK,Open source,MIT,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,SDK agents Python/TypeScript,https://github.com/openai/openai-agents-python,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
openhands-sdk,OpenHands SDK,OpenHands,Framework / SDK,Open source,MIT,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,SDK d'agents software,https://github.com/OpenHands/software-agent-sdk,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
praisonai,PraisonAI,PraisonAI,Framework / SDK,Open source / hybride,Voir dépôt,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Agents et équipes multi-modèle,https://github.com/MervinPraison/PraisonAI,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
pydanticai,PydanticAI,Pydantic,Framework / SDK,Open source,MIT,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Framework typé pour agents,https://github.com/pydantic/pydantic-ai,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
semantic-kernel,Semantic Kernel,Microsoft,Framework / SDK,Open source,MIT,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,SDK agents et plugins,https://github.com/microsoft/semantic-kernel,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
smolagents,smolagents,Hugging Face,Framework / SDK,Open source,Apache-2.0,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Agents légers et code agents,https://github.com/huggingface/smolagents,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
strands-agents,Strands Agents,AWS,Framework / SDK,Open source,Apache-2.0,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,SDK model-driven et MCP,https://github.com/strands-agents/sdk-python,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
voltagent,VoltAgent,VoltAgent,Framework / SDK,Open source,MIT,Actif,SDK · API · serveur selon projet,Oui,Optionnel,Multi-modèle,Programmable,Non,Variable,Non,Variable,Variable,Programmable,Oui,Programmable,Programmable,Oui,Plateforme TypeScript d'agents,https://github.com/VoltAgent/voltagent,Primaire / dépôt,,Moyenne,2026-08-29,Bibliothèque pour construire un agent ou un harness.,Adjacent,Pas nécessairement utilisable directement pour coder
agent-zero,Agent Zero,Communauté,General-purpose agent,Open source,Voir dépôt,Actif,Web · Docker · CLI,Oui,Auto-hébergeable,Multi-modèle,Oui,Non,Oui,Via outils,Oui,Inconnu / non documenté,Oui,Oui,Persistante,Docker,Oui,Agent généraliste auto-hébergeable,https://github.com/frdel/agent-zero,Primaire / dépôt,,Moyenne,2026-08-29,Agent pouvant coder mais aussi agir sur le web ou des applications.,"Oui, au sens large",Pas exclusivement orienté code
atomic-agent,Atomic Agent,AtomicBot,General-purpose agent,Open source,MIT,Actif,CLI TUI · Headless · API,Oui,Optionnel,Local + cloud,Oui,Non,Oui,Navigateur,Oui,Inconnu / non documenté,Oui,Inconnu / non documenté,Persistante,Approbations,Non,Codage et actions locales,https://github.com/AtomicBot-ai/atomic-agent,Primaire / dépôt,,Élevée,2026-08-29,Agent pouvant coder mais aussi agir sur le web ou des applications.,"Oui, au sens large",Pas exclusivement orienté code
autogpt,AutoGPT,Significant Gravitas,General-purpose agent,Open source / hybride,Voir dépôt,Actif / historique,Web · Platform · CLI historique,Oui,Oui,Multi-modèle,Oui,Non,Oui,Non,Inconnu / non documenté,Inconnu / non documenté,Blocks,Oui,Oui,Variable,Oui,Automatisations autonomes,https://github.com/Significant-Gravitas/AutoGPT,Primaire / dépôt,,Élevée,2026-08-29,Agent pouvant coder mais aussi agir sur le web ou des applications.,"Oui, au sens large",Pas exclusivement orienté code
goose,Goose,Block / AAIF,General-purpose agent,Open source,Apache-2.0,Actif,CLI · Desktop · API,Oui,Optionnel,Multi-modèle / local,Oui,Partiel,Oui,Via extensions,Oui,Oui,Oui,Oui,Sessions,Configurable,Oui,"Codage, recherche et automatisations",https://github.com/aaif-goose/goose,Primaire / dépôt,,Élevée,2026-08-29,Agent pouvant coder mais aussi agir sur le web ou des applications.,"Oui, au sens large",Pas exclusivement orienté code
gptme,gptme,gptme,General-purpose agent,Open source,MIT,Actif,CLI · Agent persistant,Oui,Auto-hébergeable,Multi-modèle / local,Oui,Non,Oui,Non,Oui,En cours,Oui,Oui,Git-backed,Configurable,Oui,"Codage, terminal et agents persistants",https://github.com/gptme/gptme,Primaire / dépôt,,Élevée,2026-08-29,Agent pouvant coder mais aussi agir sur le web ou des applications.,"Oui, au sens large",Pas exclusivement orienté code
grok-bot,Grok Bot,xAI,General-purpose agent,Propriétaire,Commerciale,Beta,Desktop · Mobile · Ordinateurs cloud persistants,Client local,Oui,Grok,Non,Non,Oui,Oui,Inconnu / non documenté,Inconnu / non documenté,Oui,Collaboration multi-bots,Persistante,Ordinateur cloud,Oui,Agents toujours actifs pour ingénierie et métiers,https://docs.x.ai/grok-bot/overview,Primaire / dépôt,,Élevée,2026-08-29,Agent pouvant coder mais aussi agir sur le web ou des applications.,"Oui, au sens large",Pas exclusivement orienté code
hermes-agent,Hermes Agent,Nous Research,General-purpose agent,Open source,MIT,Actif,CLI · Desktop · IDE · Messageries · Serveur,Oui,Auto-hébergeable,Multi-modèle / local,Oui,Oui,Oui,Via outils,Oui,Oui,"Oui, auto-créées",Oui,Persistante + recherche de conversations,Configurable,Oui,"Codage, automatisations et agent personnel persistant",https://github.com/NousResearch/hermes-agent,Primaire / dépôt,,Élevée,2026-08-29,Agent pouvant coder mais aussi agir sur le web ou des applications.,"Oui, au sens large",Pas exclusivement orienté code
manus,Manus,Manus,General-purpose agent,Propriétaire,Commerciale,Actif,Web · Cloud computer,Non,Oui,Modèles Manus,Non,Non,Oui,Oui,Inconnu / non documenté,Inconnu / non documenté,Oui,Oui,Oui,Cloud,Oui,Agent généraliste autonome,https://manus.im/,Secondaire / index,,Élevée,2026-08-29,Agent pouvant coder mais aussi agir sur le web ou des applications.,"Oui, au sens large",Pas exclusivement orienté code
openclaw,OpenClaw,Communauté,General-purpose agent,Open source,Voir dépôt,Actif,CLI · Serveur · Messageries,Oui,Auto-hébergeable,Multi-modèle,Oui,Non,Oui,Via outils,Oui,Oui,Oui,Oui,Persistante,Inconnu / non documenté,Oui,Agent personnel et automatisations,https://github.com/NousResearch/hermes-agent/blob/main/website/docs/guides/migrate-from-openclaw.md,Primaire / dépôt,,Moyenne,2026-08-29,Agent pouvant coder mais aussi agir sur le web ou des applications.,"Oui, au sens large",Pas exclusivement orienté code
openhuman,OpenHuman,TinyHumans,General-purpose agent,Open source,GPL-3.0,Beta,Desktop · Messageries,Oui,Optionnel,Multi-modèle / local,Non,Non,Oui,Oui,Oui,Inconnu / non documenté,Oui,Oui,Persistante,Configurable,Oui,"Agent personnel, mémoire locale et orchestration multi-agents",https://github.com/tinyhumansai/openhuman,Primaire / dépôt,"Early beta. Orchestre aussi Claude Code, Codex, OpenClaw, Hermes. Site : https://tinyhumans.ai/openhuman",Élevée,2026-08-29,Agent pouvant coder mais aussi agir sur le web ou des applications.,"Oui, au sens large",Pas exclusivement orienté code
openmanus,OpenManus,Communauté,General-purpose agent,Open source,Voir dépôt,Expérimental,CLI · Web,Oui,Optionnel,Multi-modèle,Oui,Non,Oui,Oui,Inconnu / non documenté,Inconnu / non documenté,Oui,Oui,Oui,Variable,Oui,Alternative ouverte à Manus,https://github.com/mannaandpoem/OpenManus,Primaire / dépôt,,Moyenne,2026-08-29,Agent pouvant coder mais aussi agir sur le web ou des applications.,"Oui, au sens large",Pas exclusivement orienté code
aionui,AionUI,Communauté,Meta-harness / workspace,Open source,Apache-2.0,Actif,Desktop · Web · CLI · Serveur selon produit,Oui,Variable,Agent-agnostic,Oui,Variable,Oui,Non,Variable,Souvent,Hérite des agents,Plusieurs agents,Sessions / état,Worktrees / VM / conteneurs,Oui,Desktop multi-agent et multi-session,https://github.com/bradAGI/awesome-cli-coding-agents,Secondaire / index,,Moyenne,2026-08-29,Contrôle ou héberge plusieurs harnesses.,"Oui, couche supérieure",Ne remplace pas toujours le harness sous-jacent
buzz,Buzz,Block,Meta-harness / workspace,Open source,Apache-2.0,Actif,Desktop · Web · CLI · Serveur selon produit,Oui,Variable,Agent-agnostic,Oui,Variable,Oui,Non,Variable,Souvent,Hérite des agents,Plusieurs agents,Sessions / état,Worktrees / VM / conteneurs,Oui,"Workspace humain-agent, relais Nostr et pont ACP",https://github.com/block/buzz,Primaire / dépôt,,Élevée,2026-08-29,Contrôle ou héberge plusieurs harnesses.,"Oui, couche supérieure",Ne remplace pas toujours le harness sous-jacent
clideck,CliDeck,Communauté,Meta-harness / workspace,Open source,MIT,Actif,Desktop · Web · CLI · Serveur selon produit,Oui,Variable,Agent-agnostic,Oui,Variable,Oui,Non,Variable,Souvent,Hérite des agents,Plusieurs agents,Sessions / état,Worktrees / VM / conteneurs,Oui,Dashboard web/mobile pour agents CLI,https://github.com/bradAGI/awesome-cli-coding-agents,Secondaire / index,,Moyenne,2026-08-29,Contrôle ou héberge plusieurs harnesses.,"Oui, couche supérieure",Ne remplace pas toujours le harness sous-jacent
devin-desktop-agent-command-center,Devin Desktop Agent Command Center,Cognition,Meta-harness / workspace,Propriétaire,Commerciale,Actif,Desktop · Web · CLI · Serveur selon produit,Variable,Variable,Agent-agnostic,Oui,Variable,Oui,Non,Variable,Souvent,Hérite des agents,Plusieurs agents,Sessions / état,Worktrees / VM / conteneurs,Oui,Hôte ACP pour Devin et agents tiers,https://docs.devin.ai/desktop/acp,Primaire / dépôt,,Élevée,2026-08-29,Contrôle ou héberge plusieurs harnesses.,"Oui, couche supérieure",Ne remplace pas toujours le harness sous-jacent
emdash,Emdash,Emdash,Meta-harness / workspace,Open source,Voir dépôt,Actif,Desktop · Web · CLI · Serveur selon produit,Oui,Variable,Agent-agnostic,Oui,Variable,Oui,Non,Variable,Souvent,Hérite des agents,Plusieurs agents,Sessions / état,Worktrees / VM / conteneurs,Oui,Environnements parallèles locaux ou SSH,https://github.com/AutoJunjie/awesome-agent-harness,Secondaire / index,,Moyenne,2026-08-29,Contrôle ou héberge plusieurs harnesses.,"Oui, couche supérieure",Ne remplace pas toujours le harness sous-jacent
